paper_title,first_author_year,antibody_name,antibody_type,manufacturer,catalog_number,labeling_stage,dilution
Fast photostable expansion microscopy using QDots and deconvolution,Gunawardhana 2025,"anti-GFAP (ab7260, Abcam)",primary,Abcam,ab7260,pre-expansion,1:250
Fast photostable expansion microscopy using QDots and deconvolution,Gunawardhana 2025,"anti-MBP (MAB386, Millipore Sigma)",primary,Millipore Sigma,MAB386,pre-expansion,1:250
Fast photostable expansion microscopy using QDots and deconvolution,Gunawardhana 2025,"anti-α-tubulin (T8203, Millipore Sigma)",primary,Millipore Sigma,T8203,pre-expansion,1:250
Fast photostable expansion microscopy using QDots and deconvolution,Gunawardhana 2025,"biotinylated goat anti-rabbit (111-065-144, Jackson immuno)",secondary,Jackson immuno,111-065-144,pre-expansion,1:200
Fast photostable expansion microscopy using QDots and deconvolution,Gunawardhana 2025,"biotinylated goat anti-mouse (115-065-146, Jackson immuno)",secondary,Jackson immuno,115-065-146,pre-expansion,1:200
Fast photostable expansion microscopy using QDots and deconvolution,Gunawardhana 2025,"biotinylated goat anti-rat (A24553, Invitrogen)",secondary,Invitrogen,A24553,pre-expansion,1:200
Super-resolution expansion microscopy in plant roots,Gallei 2025,anti-Tubulin (monoclonal IgG2a),primary,Santa Cruz Biotechnology,SC-53030,pre-expansion,1:100
Super-resolution expansion microscopy in plant roots,Gallei 2025,Alexa Fluor 488 Goat anti-rat IgG (H+L) Cross-Adsorbed Secondary Antibody,secondary,Invitrogen,A11006,pre-expansion,1:100
Super-resolution expansion microscopy in plant roots,Gallei 2025,anti-α-tubulin (mouse monoclonal),primary,Sigma-Aldrich,T6074,pre-expansion,1:100
Super-resolution expansion microscopy in plant roots,Gallei 2025,anti-β-tubulin (mouse monoclonal),primary,Sigma-Aldrich,T5293,pre-expansion,1:100
Super-resolution expansion microscopy in plant roots,Gallei 2025,Alexa Fluor 488 Goat anti-mouse IgG (H+L) Highly Cross-Adsorbed Secondary Antibody,secondary,Invitrogen,A-11029,pre-expansion,1:300
Super-resolution expansion microscopy in plant roots,Gallei 2025,rabbit anti-GFP,primary,Agrisera,AS152987,pre-expansion,
Super-resolution expansion microscopy in plant roots,Gallei 2025,rat anti-α-tubulin (anti-tubulin),primary,Santa Cruz Biotechnology,SC-53030,pre-expansion,
Super-resolution expansion microscopy in plant roots,Gallei 2025,Alexa Fluor 633 Goat anti-rat IgG,secondary,Thermo Fisher,A21094,pre-expansion,
Super-resolution expansion microscopy in plant roots,Gallei 2025,anti-GFP (mouse monoclonal),primary,Sigma,G6539,pre-expansion,1:500
Super-resolution expansion microscopy in plant roots,Gallei 2025,anti-sec21 (rabbit),primary,Agrisera,AS08327,pre-expansion,1:500
Super-resolution expansion microscopy in plant roots,Gallei 2025,Alexa Fluor 488 Goat anti-rabbit IgG (H+L),secondary,Invitrogen / Thermo Fisher,A11034,pre-expansion,1:100
Super-resolution expansion microscopy in plant roots,Gallei 2025,Alexa Fluor 594 Goat anti-mouse IgG,secondary,Abcam,150116,pre-expansion,1:100
Super-resolution expansion microscopy in plant roots,Gallei 2025,Alexa Fluor 594 Goat anti-mouse IgG,secondary,Thermo Fisher,A11005,pre-expansion,1:100; 1:300
Super-resolution expansion microscopy in plant roots,Gallei 2025,Goat anti-rabbit IgG conjugated to Star635P,secondary,Abberior,ST635P-1002-500UG,pre-expansion,1:100
Super-resolution expansion microscopy in plant roots,Gallei 2025,Goat anti-rabbit IgG conjugated to Star580,secondary,Abberior,ST580-1002-500UG,pre-expansion,1:100
Super-resolution expansion microscopy in plant roots,Gallei 2025,anti-GFP (mouse monoclonal),primary,Thermo Fisher,A11120,pre-expansion,2 µg/ml
Root expansion microscopy: A robust method for super resolution imaging in Arabidopsis,Grison 2025,anti-alpha-Tubulin,primary,Merck,T5168,pre-expansion,
Root expansion microscopy: A robust method for super resolution imaging in Arabidopsis,Grison 2025,anti-SUN,primary,Agrisera,AS18,pre-expansion,
Following the cellular itinerary of renal aquaporin-2 shuttling with 4.5x expansion microscopy,Login 2023,mouse anti-AQP2 antibody,primary,Santa Cruz Biotechnology,sc-515770,pre-expansion,1:20
Following the cellular itinerary of renal aquaporin-2 shuttling with 4.5x expansion microscopy,Login 2023,mouse anti-AQP2 antibody,primary,Santa Cruz Biotechnology,sc-515770,pre-expansion,1:20
Expansion Microscopy Reveals Plasmodium falciparum Blood-Stage Parasites Undergo Anaphase with A Chromatin Bridge in the Absence of Mini-Chromosome Maintenance Complex Binding Protein,Liffner 2021,Mouse IgG1 anti-alpha Tubulin Clone B-5-1-2,primary,ThermoFisher,32-2500,pre-expansion,1:1000
Expansion Microscopy Reveals Plasmodium falciparum Blood-Stage Parasites Undergo Anaphase with A Chromatin Bridge in the Absence of Mini-Chromosome Maintenance Complex Binding Protein,Liffner 2021,Mouse IgG1 anti-alpha Tubulin Clone B-5-1-2,primary,ThermoFisher,32-2500,post-expansion,1:500
Expansion Microscopy Reveals Plasmodium falciparum Blood-Stage Parasites Undergo Anaphase with A Chromatin Bridge in the Absence of Mini-Chromosome Maintenance Complex Binding Protein,Liffner 2021,Mouse IgG2a anti-Centrin-1 Clone 20H5,primary,EMD Millipore,04-1624,post-expansion,1:100
Expansion Microscopy Reveals Plasmodium falciparum Blood-Stage Parasites Undergo Anaphase with A Chromatin Bridge in the Absence of Mini-Chromosome Maintenance Complex Binding Protein,Liffner 2021,Goat anti-mouse IgG Alexa Fluor 488 Superclonal™,secondary,ThermoFisher,A28175,pre-expansion,1:1000
Expansion Microscopy Reveals Plasmodium falciparum Blood-Stage Parasites Undergo Anaphase with A Chromatin Bridge in the Absence of Mini-Chromosome Maintenance Complex Binding Protein,Liffner 2021,Goat anti-mouse IgG Alexa Fluor 488 Superclonal™,secondary,ThermoFisher,A28175,post-expansion,1:500
Expansion Microscopy Reveals Plasmodium falciparum Blood-Stage Parasites Undergo Anaphase with A Chromatin Bridge in the Absence of Mini-Chromosome Maintenance Complex Binding Protein,Liffner 2021,Goat anti-mouse IgG2a Alexa Fluor 488 Cross-Adsorbed,secondary,ThermoFisher,A21131,post-expansion,1:500
Expansion Microscopy Reveals Plasmodium falciparum Blood-Stage Parasites Undergo Anaphase with A Chromatin Bridge in the Absence of Mini-Chromosome Maintenance Complex Binding Protein,Liffner 2021,Goat anti-mouse IgG1 Alexa Fluor 594 Cross-Adsorbed,secondary,ThermoFisher,A21125,post-expansion,1:500
Expansion Microscopy Reveals Plasmodium falciparum Blood-Stage Parasites Undergo Anaphase with A Chromatin Bridge in the Absence of Mini-Chromosome Maintenance Complex Binding Protein,Liffner 2021,Goat anti-mouse IgG1 Alexa Fluor 647 Cross-Adsorbed,secondary,ThermoFisher,A21240,post-expansion,1:500
Expansion Microscopy Reveals Plasmodium falciparum Blood-Stage Parasites Undergo Anaphase with A Chromatin Bridge in the Absence of Mini-Chromosome Maintenance Complex Binding Protein,Liffner 2021,Goat anti-rabbit Alexa Fluor 488 Highly Cross-Adsorbed,secondary,ThermoFisher,A11034,post-expansion,1:500
Nanoscale imaging of clinical specimens using pathology-optimized expansion microscopy,Zhao 2017,goat anti-chicken Alexa 488,secondary,ThermoFisher Scientific,A-11039,pre-expansion,approximately 10 µg/mL
Nanoscale imaging of clinical specimens using pathology-optimized expansion microscopy,Zhao 2017,goat anti-rabbit Alexa 546,secondary,ThermoFisher Scientific,A-11010,pre-expansion,approximately 10 µg/mL
Nanoscale imaging of clinical specimens using pathology-optimized expansion microscopy,Zhao 2017,goat anti-mouse CF633,secondary,Biotium,20341,pre-expansion,approximately 10 µg/mL
Nanoscale imaging of clinical specimens using pathology-optimized expansion microscopy,Zhao 2017,goat anti-guinea pig Alexa 488,secondary,ThermoFisher Scientific,A-11073,pre-expansion,approximately 10 µg/mL
Nanoscale imaging of clinical specimens using pathology-optimized expansion microscopy,Zhao 2017,goat anti-mouse Atto 647N,secondary,Sigma-Aldrich,50185,pre-expansion,approximately 10 µg/mL
Nanoscale imaging of clinical specimens using pathology-optimized expansion microscopy,Zhao 2017,goat anti-chicken Alexa 546,secondary,ThermoFisher Scientific,A-11040,pre-expansion,approximately 10 µg/mL
Nanoscale imaging of clinical specimens using pathology-optimized expansion microscopy,Zhao 2017,goat anti-rabbit Alexa 488,secondary,ThermoFisher Scientific,A-11008,pre-expansion,approximately 10 µg/mL
Optimized expansion microscopy reveals species-specific spindle microtubule organization in Xenopus egg extracts,Guilloux 2025,antidynein mouse antibody,primary,Invitrogen,14-9772-80,pre-expansion,1:250
Optimized expansion microscopy reveals species-specific spindle microtubule organization in Xenopus egg extracts,Guilloux 2025,goat anti-mouse AlexaFluor488-coupled antibody,secondary,Invitrogen,A-11029,pre-expansion,1:500
Optimized expansion microscopy reveals species-specific spindle microtubule organization in Xenopus egg extracts,Guilloux 2025,anti-Eg5,primary,Novusbio,NB500-181,pre-expansion,
Optimized expansion microscopy reveals species-specific spindle microtubule organization in Xenopus egg extracts,Guilloux 2025,anti-p150,primary,DB Biosciences,610473,pre-expansion,
Optimized expansion microscopy reveals species-specific spindle microtubule organization in Xenopus egg extracts,Guilloux 2025,anti–γ-tubulin,primary,Sigma-Aldrich,T6557,pre-expansion,
Optimized expansion microscopy reveals species-specific spindle microtubule organization in Xenopus egg extracts,Guilloux 2025,anti-chTOG,primary,Abcam,AB86073,pre-expansion,
Optimized expansion microscopy reveals species-specific spindle microtubule organization in Xenopus egg extracts,Guilloux 2025,anti–α-tubulin,primary,Sigma-Aldrich,T6199,post-expansion,
Optimized expansion microscopy reveals species-specific spindle microtubule organization in Xenopus egg extracts,Guilloux 2025,anti-polyglutamate chain (polyE),primary,AdipoGene Life Sciences,AG-25B-0030,post-expansion,
From Trypomastigotes to Trypomastigotes: Analyzing the One-Way Intracellular Journey of Trypanosoma cruzi by Ultrastructure Expansion Microscopy,Tomasina 2024,Mouse anti-acetylated tubulin,primary,Sigma,T7451,post-expansion,1:500
Practical method for superresolution imaging of primary cilia and centrioles by expansion microscopy using an amplibody for fluorescence signal amplification,Katoh 2020,mClover3-anti-mouse-Ig(κ)-light-chain-Nb (amplibody),secondary,authors / Addgene (plasmid deposited),Addgene #138128 (plasmid deposit for amplibody series),pre-expansion,1 µg/ml (PFA and methanol fixation) or 0.25 µg/ml (PHEM/methanol fixation)
Practical method for superresolution imaging of primary cilia and centrioles by expansion microscopy using an amplibody for fluorescence signal amplification,Katoh 2020,mCherry-anti-mouse-Ig(κ)-light-chain-Nb (amplibody),secondary,authors / Addgene (plasmid deposited),Addgene #138129,pre-expansion,
Practical method for superresolution imaging of primary cilia and centrioles by expansion microscopy using an amplibody for fluorescence signal amplification,Katoh 2020,mClover3-anti-rabbit-IgG(Fc)-Nb (amplibody),secondary,authors / Addgene (plasmid deposited),Addgene #138130,pre-expansion,
Practical method for superresolution imaging of primary cilia and centrioles by expansion microscopy using an amplibody for fluorescence signal amplification,Katoh 2020,mCherry-anti-rabbit-IgG(Fc)-Nb (amplibody),secondary,authors / Addgene (plasmid deposited),Addgene #138131,pre-expansion,
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"Rabbit anti-mouse ASC (mASC) (AL177, Adipogen)",primary,Adipogen,AL177,pre-expansion,1:200
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"mouse anti-mASC (2EI-7, Millipore)",primary,Millipore,2EI-7,pre-expansion,1:200
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"mouse anti-mRIPK3 (B-2, Santacruz)",primary,Santa Cruz,B-2,pre-expansion,1:200
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"rat anti-mRIPK3 (8G7, Millipore)",primary,Millipore,8G7,pre-expansion,1:200
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"rat anti-mCASP8 (3B10, Adipogen)",primary,Adipogen,3B10,pre-expansion,1:200
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"rabbit anti-mCASP8 (#4927, CST)",primary,Cell Signaling Technology,4927,pre-expansion,1:200
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"goat anti-mouse IgG AlexaPlus-488 (A32723, ThermoFisher)",secondary,Thermo Fisher Scientific,A32723,pre-expansion,1:200
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"goat anti-rat IgG AlexaPlus-555 (A48263, ThermoFisher)",secondary,Thermo Fisher Scientific,A48263,pre-expansion,1:200
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"goat anti-rabbit IgG AlexaPlus-647 (A32733, ThermoFisher)",secondary,Thermo Fisher Scientific,A32733,pre-expansion,1:200
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"anti-caspase-8 (4927, CST)",primary,Cell Signaling Technology,4927,,
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"anti-cleaved caspase-8 (8592, CST)",primary,Cell Signaling Technology,8592,,
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"HRP-conjugated anti-mouse (315-035-047, Jackson ImmunoResearch Laboratories)",secondary,Jackson ImmunoResearch Laboratories,315-035-047,,
Single cell analysis of PANoptosome cell death complexes through an expansion microscopy method,Wang 2022,"HRP-conjugated anti-rabbit (111-035-047, Jackson ImmunoResearch Laboratories)",secondary,Jackson ImmunoResearch Laboratories,111-035-047,,
Ultrastructure Expansion Microscopy (U‑ExM) in Trypanosoma cruzi: localization of tubulin isoforms and isotypes,Alonso 2022,TAT-1,primary,Sigma Aldrich,"00,020,911",post-expansion,1:200
Ultrastructure Expansion Microscopy (U‑ExM) in Trypanosoma cruzi: localization of tubulin isoforms and isotypes,Alonso 2022,KMX-1,primary,Millipore,MAB3408,post-expansion,1:200
Ultrastructure Expansion Microscopy (U‑ExM) in Trypanosoma cruzi: localization of tubulin isoforms and isotypes,Alonso 2022,YL1/2,primary,Millipore,MAB1864,post-expansion,1:300
Ultrastructure Expansion Microscopy (U‑ExM) in Trypanosoma cruzi: localization of tubulin isoforms and isotypes,Alonso 2022,6-11B-1,primary,Sigma Aldrich,MABT868,post-expansion,1:300
Ultrastructure Expansion Microscopy (U‑ExM) in Trypanosoma cruzi: localization of tubulin isoforms and isotypes,Alonso 2022,Anti-mouse Alexa 555,secondary,Thermo Fisher Scientific,A-21427,post-expansion,1:400
Prospects and limitations of expansion microscopy in chromatin ultrastructure determination,Kubalová 2020,secondary anti-rabbit Alexa488 antibodies,secondary,Jackson ImmunoResearch,711-545-152,post-expansion,1:200
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Rabbit anti-α-tubulin,primary,Abcam,ab18251,,1:500 (cend = 2 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Mouse anti-β-tubulin,primary,Sigma-Aldrich,T8328,pre-expansion,1:200 (cend = 10 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Mouse anti poly-glutamylated tubulin (mAb GT335),primary,Adipogen,AG-20B-0020,pre-expansion,1:500
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Alexa Fluor 647 F(ab')2 goat anti-rabbit IgG,secondary,Thermo Fisher Scientific,A-21246,post-expansion,1:200 (cend = 10 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Alexa Fluor 647 F(ab')2 goat anti-mouse IgG,secondary,Thermo Fisher Scientific,A-21235,,
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Alexa Fluor 532 goat anti-rabbit IgG (H+L) A-11009,secondary,Thermo Fisher Scientific,A-11009,,1:200 (cend = 10 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Alexa Fluor 532 goat anti-rabbit IgG (H+L) A-11002,secondary,Thermo Fisher Scientific,A-11002,,1:200 (cend = 10 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,HMSiR 647 conjugated to goat anti-rabbit IgG F(ab')2,secondary,Sigma-Aldrich,SAB3700946,post-expansion,
Spatially resolved proteomics via tissue expansion,Li 2022,rabbit monoclonal anti-β amyloid (D54D2) XP®,primary,Cell Signaling Technology,8243S,pre-expansion,1:1000
Spatially resolved proteomics via tissue expansion,Li 2022,Alexa Fluor 647 Goat Anti-Rat IgG,secondary,Abcam,ab150167,pre-expansion,1:1200
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,HsPOC5,primary,Bethyl,A303-341A,post-expansion,1:200 (iU-ExM & U-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,NUP98-96,primary,ProteinTech,12329-1-AP,post-expansion,1:200 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,NUP205,primary,ProteinTech,24439-1-AP,post-expansion,1:200 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Rat Anti-HA,primary,Roche,11 867 423 001,post-expansion,1:250 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Rhodopsin,primary,ThermoScientific,MA5-11741,post-expansion,1:250 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Centrin,primary,Millipore,04-1624,post-expansion,1:250 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,LCA5,primary,Proteintech,19333-1-AP,post-expansion,1:250 (iU-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,CEP290,primary,Proteintech,22490-1-AP,post-expansion,1:250 (iU-ExM and U-ExM)
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Rat 488,secondary,Invitrogen,A21208,post-expansion,"1:250 (iU-ExM), 1:400 (U-ExM)"
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Rabbit 488,secondary,Invitrogen,A11008,post-expansion,"1:250 (iU-ExM), 1:400 (U-ExM)"
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Mouse 488,secondary,Invitrogen,A11029,post-expansion,"1:250 (iU-ExM), 1:400 (U-ExM)"
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Mouse 568,secondary,Invitrogen,A11004,post-expansion,"1:250 (iU-ExM), 1:400 (U-ExM)"
iU-ExM: nanoscopy of organelles and tissues with iterative ultrastructure expansion microscopy,Louvel 2023,Guinea Pig 568,secondary,Invitrogen,A11075,post-expansion,"1:250 (iU-ExM), 1:400 (U-ExM)"
Trifunctional sphingomyelin derivatives enable nanoscale resolution of sphingomyelin turnover in physiological and infection processes via expansion microscopy,Rühling 2024,"anti-LAMP-1 antibody (sc-18821, clone H5G11)",primary,SantaCruz,sc-18821,pre-expansion,4 µg/ml
Trifunctional sphingomyelin derivatives enable nanoscale resolution of sphingomyelin turnover in physiological and infection processes via expansion microscopy,Rühling 2024,anti-GM130 antibody,primary,Becton Dickinson,610823,pre-expansion,2.5 µg/ml
Trifunctional sphingomyelin derivatives enable nanoscale resolution of sphingomyelin turnover in physiological and infection processes via expansion microscopy,Rühling 2024,anti-Peroxiredoxin 3 (Prx3) antibody,primary,OriGene,TA322472,pre-expansion,1:50
Trifunctional sphingomyelin derivatives enable nanoscale resolution of sphingomyelin turnover in physiological and infection processes via expansion microscopy,Rühling 2024,anti-chlamydial HSP60 antibody,primary,SantaCruz,sc-57840,pre-expansion,4 µg/ml
Trifunctional sphingomyelin derivatives enable nanoscale resolution of sphingomyelin turnover in physiological and infection processes via expansion microscopy,Rühling 2024,CF568 secondary antibody,secondary,Sigma,SAB4600082,pre-expansion,20 µg/ml
Trifunctional sphingomyelin derivatives enable nanoscale resolution of sphingomyelin turnover in physiological and infection processes via expansion microscopy,Rühling 2024,AlexaFluor 405 secondary antibody,secondary,ThermoFisher,A48255,pre-expansion,20 µg/ml
Rapid lightsheet fluorescence imaging of whole Drosophila brains at nanoscale resolution by potassium acrylate-based expansion microscopy,Tian 2024,GFP Antibody,primary,Thermo Fisher,A-11122,pre-expansion,1:200-1:100
Rapid lightsheet fluorescence imaging of whole Drosophila brains at nanoscale resolution by potassium acrylate-based expansion microscopy,Tian 2024,Brp Antibody (BrpNc82),primary,DSHB,nc82,pre-expansion,1:50
Rapid lightsheet fluorescence imaging of whole Drosophila brains at nanoscale resolution by potassium acrylate-based expansion microscopy,Tian 2024,"Goat anti-Rabbit IgG (H + L) Secondary Antibody, Biotin",secondary,Thermo Fisher,65-6140,pre-expansion,1:200-1:100
Rapid lightsheet fluorescence imaging of whole Drosophila brains at nanoscale resolution by potassium acrylate-based expansion microscopy,Tian 2024,Goat anti-Mouse conjugate Cy3,secondary,Jackson ImmunoResearch,115-165-166,pre-expansion,1:200-1:100
"Dense, continuous membrane labeling and expansion microscopy visualization of ultrastructure in tissues",Shin 2025,goat anti-rabbit ATTO 647N conjugated secondary antibody,secondary,Rockland Immunochemicals,50-194-3924,post-expansion,5-10 μg/mL
"Dense, continuous membrane labeling and expansion microscopy visualization of ultrastructure in tissues",Shin 2025,rabbit anti-SV2A,primary,Abcam,ab32942,pre-expansion,
"Dense, continuous membrane labeling and expansion microscopy visualization of ultrastructure in tissues",Shin 2025,rabbit anti-PSD95,primary,Thermo Fisher,MA1-046,post-expansion,10 μg/mL
"Dense, continuous membrane labeling and expansion microscopy visualization of ultrastructure in tissues",Shin 2025,ATTO 647N-conjugated anti-GFP nanobody (gba647n),primary,ChromoTek,gba647n,post-expansion,10 μg/mL
"Dense, continuous membrane labeling and expansion microscopy visualization of ultrastructure in tissues",Shin 2025,ATTO 488-conjugated anti-GFP nanobody (gba488),primary,ChromoTek,gba488,post-expansion,10 μg/mL
A basal body microtubule singlet-to-doublet transition in Plasmodium male gametogenesis,Yang 2025,rabbit anti-HA,primary,Cell Signaling Technology,3724S,post-expansion,1:1000
A basal body microtubule singlet-to-doublet transition in Plasmodium male gametogenesis,Yang 2025,mouse anti-Myc,primary,Cell Signaling Technology,2276S,post-expansion,1:1000
A basal body microtubule singlet-to-doublet transition in Plasmodium male gametogenesis,Yang 2025,mouse antibody against both α-Tubulin I and α-Tubulin II,primary,Sigma-Aldrich,T6199,post-expansion,1:1000
A basal body microtubule singlet-to-doublet transition in Plasmodium male gametogenesis,Yang 2025,mouse anti-β-Tubulin,primary,Sigma-Aldrich,T5201,post-expansion,1:1000
A basal body microtubule singlet-to-doublet transition in Plasmodium male gametogenesis,Yang 2025,rabbit anti-Polyglutamate chain (PolyE),primary,AdipoGen,AG-25B-0030,post-expansion,1:1000
A basal body microtubule singlet-to-doublet transition in Plasmodium male gametogenesis,Yang 2025,HRP-conjugated goat anti-rabbit IgG,secondary,Abcam,ab6721,pre-expansion,1:5000
A basal body microtubule singlet-to-doublet transition in Plasmodium male gametogenesis,Yang 2025,HRP-conjugated goat anti-mouse IgG,secondary,Abcam,ab6789,pre-expansion,1:5000
A basal body microtubule singlet-to-doublet transition in Plasmodium male gametogenesis,Yang 2025,Alexa 555 goat anti-rabbit IgG,secondary,Thermo Fisher Scientific,A21428,post-expansion,1:1000
A basal body microtubule singlet-to-doublet transition in Plasmodium male gametogenesis,Yang 2025,Alexa 488 goat anti-mouse IgG,secondary,Thermo Fisher Scientific,A11001,post-expansion,1:1000
Protein and lipid expansion microscopy with trypsin and tyramide signal amplification for 3D imaging,Wang 2023,Cytochrome c oxidase subunit 5B (COX5B) rabbit polyclonal antibody,primary,Proteintech,11418-2-AP,pre-expansion,3–6 µg/ml
Protein and lipid expansion microscopy with trypsin and tyramide signal amplification for 3D imaging,Wang 2023,Protein disulfide isomerase (PDI) rabbit polyclonal antibody,primary,Proteintech,11245-1-AP,pre-expansion,1–2 µg/ml
Protein and lipid expansion microscopy with trypsin and tyramide signal amplification for 3D imaging,Wang 2023,Beta-tubulin mouse monoclonal antibody,primary,Sigma-Aldrich,T4026,pre-expansion,6 µg/ml
Protein and lipid expansion microscopy with trypsin and tyramide signal amplification for 3D imaging,Wang 2023,Horseradish peroxidase (HRP)-conjugated anti-rabbit IgG,secondary,Jackson ImmunoResearch Laboratory,711-035-152,pre-expansion,1:500
Protein and lipid expansion microscopy with trypsin and tyramide signal amplification for 3D imaging,Wang 2023,Alexa fluor-488-conjugated anti-mouse IgG,secondary,ThermoFisher,A28175,pre-expansion,1:500
Protein and lipid expansion microscopy with trypsin and tyramide signal amplification for 3D imaging,Wang 2023,Alexa fluor-555-conjugated anti-rabbit IgG,secondary,ThermoFisher,A32732,pre-expansion,1:500
Subdiffraction-resolution fluorescence imaging of immunological synapse formation between NK cells and A. fumigatus by expansion microscopy,Trinks 2021,rabbit anti-alpha-tubulin,primary,Abcam,ab18251,pre-expansion,5 µg/ml
Subdiffraction-resolution fluorescence imaging of immunological synapse formation between NK cells and A. fumigatus by expansion microscopy,Trinks 2021,goat anti-rabbit Alexa Fluor 488 (fab fragment),secondary,Invitrogen (Thermo Fisher),A11070,pre-expansion,10 µg/ml
Subdiffraction-resolution fluorescence imaging of immunological synapse formation between NK cells and A. fumigatus by expansion microscopy,Trinks 2021,rabbit anti-granulysin,primary,Abbexa,abx006369,pre-expansion,10–25 µg/ml
Subdiffraction-resolution fluorescence imaging of immunological synapse formation between NK cells and A. fumigatus by expansion microscopy,Trinks 2021,mouse anti-perforin (clone dG9),primary,BioLegend,308102,pre-expansion,10–25 µg/ml (10 µg/ml reported in degranulation assay)
Subdiffraction-resolution fluorescence imaging of immunological synapse formation between NK cells and A. fumigatus by expansion microscopy,Trinks 2021,goat anti-mouse ATTO 643 (custom labeled),secondary,Sigma,SAB3701063,pre-expansion,5.5 µg/ml
Subdiffraction-resolution fluorescence imaging of immunological synapse formation between NK cells and A. fumigatus by expansion microscopy,Trinks 2021,rabbit anti-LAMP1 (CD107a),primary,Abcam,ab24170,pre-expansion,8.3 µg/ml (final concentration in assay)
Subdiffraction-resolution fluorescence imaging of immunological synapse formation between NK cells and A. fumigatus by expansion microscopy,Trinks 2021,goat anti-mouse Alexa Fluor 488 (fab fragment),secondary,Thermo Fisher Scientific,A11017,pre-expansion,10 µg/ml
Subdiffraction-resolution fluorescence imaging of immunological synapse formation between NK cells and A. fumigatus by expansion microscopy,Trinks 2021,donkey anti-rabbit ATTO 643 (custom labeled),secondary,Jackson ImmunoResearch,711-005-152,pre-expansion,5 µg/ml
3D-Aligner: advanced computational tool for correcting image distortion in expansion microscopy,Loi 2024,"guinea pig anti-CENP-C (MBL, PD030)",primary,MBL,PD030,pre-expansion,
3D-Aligner: advanced computational tool for correcting image distortion in expansion microscopy,Loi 2024,"mouse anti-CENP-B (santacruz, sc-22788)",primary,santacruz,sc-22788,pre-expansion,
3D-Aligner: advanced computational tool for correcting image distortion in expansion microscopy,Loi 2024,"mouse anti-tubulin (Sigma, DM1A, 05-829)",primary,Sigma,05-829,pre-expansion,
3D-Aligner: advanced computational tool for correcting image distortion in expansion microscopy,Loi 2024,"minimum cross-react donkey anti-guinea pig IgG Alexa 488 (Jackson ImmunoResearch, 706-546-148)",secondary,Jackson ImmunoResearch,706-546-148,pre-expansion,
